Expr1	CAS	Systematic Name	Synonyms	Molecular Weight in kg/kmol	Formula	Boiling Point in K	Melting Point in K	Flash Point in K	Vapor Pressure in kPa	Viscosity in kg/m-s	Thermal Conductivity in J/(m-s-K)	Surface Tension in kg/s2	Density in kg/m3	Oral Rat LD50 in mg/kg	Fathead Minnow LC50 in mg/L	Boiling Point Source	Melting Point Source	Flash Point Source	Vapor Pressure Source	Viscosity Source	Thermal Conductivity Source	Surface Tension Source	Density Source	Oral Rat LD50 Source	Fathead Minnow LC50 Source	g_ethanol	g_acetone	g_diethyl_ether	g_water	g_benzene	g_cis_2_heptene	g_n_propyl_chloride	g_n_heptadecane	g_n_propylamine	g_dimethyl_disulfide	OSHA_TWA	GWP	PCO	OD	AP	antoineConstantA	antoineConstantB	antoineConstantC	antoineTmin	antoineTmax	antoineSource	Est Tc in K	Est Pc in bar	Est omega
7	50-21-5	2-oxidanylpropanoic acid	(+-)-2-Hydroxypropanoic acid;(RS)-2-Hydroxypropionsaeure;1-Hydroxyethanecarboxylic acid;152-36-3;2-Hydroxypropanoic acid;2-Hydroxypropionic acid;50-21-5;598-82-3;AI3-03130;Acidum lacticum;Aethylidenmilchsaeure;BRN 5238667;CCRIS 2951;DL-Lactic acid;DL-Milchsaeure;EINECS 200-018-0;EINECS 209-954-4;EPA Pesticide Chemical Code 128929;Ethylidenelactic acid;FEMA No. 2611;FEMA Number 2611;HSDB 800;Kyselina 2-hydroxypropanova;Kyselina 2-hydroxypropanova [Czech];Kyselina mlecna;Kyselina mlecna [Czech];Lactate;Lactic acid;Lactic acid (natural);Lactic acid USP;Lactic acid, dl-;Lactovagan;Milchsaeure;Milchsaure;Milchsaure [German];Milk acid;NSC 367919;Ordinary lactic acid;Propanoic acid, 2-hydroxy-;Propel;Propionic acid, 2-hydroxy-;Racemic lactic acid;SY-83;Tonsillosan;UNII-33X04XA5AT;UNII-3B8D35Y7S4;alpha-Hydroxypropionic acid;	90.08	C3H6O3	488.60	289.95	383.09	1.08E-02	0.01	0.18	0.03	1280.00	3545.49	1532.74	Pred-HC	Exp	Exp	Exp	Pred-HC	Pred-HC	Pred-HC	Exp	Exp	Pred-HC	1.01	1.68	8.27	2.08	6.71	41.83	5.99	10474.30	0.95	0.32						6.90	1952.64	-91.51	291.15	616.00	Yaws	697.74	56.13	1.07
7	51-75-2	2-chloranyl-N-(2-chloroethyl)-N-methyl-ethanamine	126-85-2 (N-oxide);2,2'-Dichloro-N-methyldiethylamine;2,2'-Dichlorodiethyl-methylamine;2-Chloro-N-(2-chloroethyl)-N-methylethanamine;302-70-5 (N-oxide, hydrochloride);4-04-00-00446 (Beilstein Handbook Reference);51-75-2;55-86-7 (hydrochloride);Antimit;BRN 0605323;Bis(2-chloroethyl)methylamine;Bis(beta-chloroethyl)methylamine;C 6866;CCRIS 447;Chloramine (the nitrogen mustard);Chlorethazine;Chlormethine;Chlormethinum;Chlormethinum [INN-Latin];Clormetina;Clormetina [INN-Spanish];Di(2-chloroethyl)methylamine;Dichlor amine;Diethylamine, 2,2'-dichloro-N-methyl-;EINECS 200-120-5;ENT-25294;Ethanamine, 2-chloro-N-(2-chloroethyl)-N-methyl-;HN-2;HN2;HSDB 5083;MBA;Mechlorethamine;Mecloretamina;Mecloretamina [Italian];Methylbis(2-chloroethyl)amine;Methylbis(beta-chloroethyl)amine;Methyldi(2-chloroethyl)amine;N,N-Bis(2-chloroethyl)methylamine;N,N-Di(chloroethyl)methylamine;N-Methyl lost;N-Methyl-2,2'-dichlorodiethylamine;N-Methyl-bis(2-chloroethyl)amine;N-Methyl-bis(beta-chloroethyl)amine;N-Methyl-bis-chloraethylamin;N-Methyl-bis-chloraethylamin [German];N-Methyl-lost;N-Methyl-lost [German];NSC 762;Nitrogen mustard;Nitrogen mustard (HN-2);Stickstofflost (ebewe);T 1024;T-1024;TL 146;UN 2927;UNII-50D9XSG0VR;beta,beta'-Dichlorodiethyl-N-methylamine;	156.05	C5H11NCl2	446.41	213.15	293.65	2.27E-02	8.2e-04	0.14	0.03	1110.00	10.01	131.86	Pred-HC	Exp	Exp	Exp	Pred-HC	Pred-HC	Pred-HC	Exp	Exp	Pred-HC	1.12	0.51	1.39	1.66	0.75	2.26	0.91	6.31	0.79	0.92												665.40	31.96	0.41
7	51-80-9	N,N,N',N'-tetramethylmethanediamine	102830-06-8;29572-95-0;51-80-9;AI3-26640;Bis(dimethylamino)methane;Dimethyl((dimethylamino)methyl)amine;EINECS 200-124-7;Methanediamine, N,N,N',N'-tetramethyl-;Methylenebis(dimethylamine);Methylenediamine, N,N,N',N'-tetramethyl-;N,N,N',N'-Tetramethyldiaminomethan;N,N,N',N'-Tetramethyldiaminomethan [German];N,N,N',N'-Tetramethyldiaminomethane;N,N,N',N'-Tetramethylmethanediamine;N,N,N',N'-Tetramethylmethylenediamine;NSC 166169;Tetramethylmethylenediamine;	102.18	C5H14N2	356.15	224.09	277.58	1.89E+01	3.5e-04	0.15	0.02	810.00	640.99	220.77	Exp	Pred-HC	Pred-HC	Pred-HC	Pred-HC	Pred-HC	Pred-HC	Exp	Pred-HC	Pred-HC	0.19	1.40	0.89	4.13	0.85	1.10	0.92	1.05	0.83	1.49						6.78	1510.34	-40.16	237.32	401.19	Yaws	560.27	29.57	0.37
7	54-11-5	3-[(2S)-1-methylpyrrolidin-2-yl]pyridine	(-)-3-(1-Methyl-2-pyrrolidyl)pyridine;(-)-Nicotine;(S)-3-(1-Methyl-2-pyrrolidinyl)pyridine;(S)-Nicotine;1-Methyl-2-(3-pyridyl)pyrrolidine;13890-81-8;13890-82-9;16760-37-5;3-(1-Methyl-2-pyrrolidinyl)pyridine;3-(N-Methylpyrrolidino)pyridine;54-11-5;551-13-3;6912-85-2;AI3-03424;Black Leaf 40;Black leaf;CCRIS 1637;Caswell No. 597;Destruxol orchid spray;EINECS 200-193-3;ENT 3,424;EPA Pesticide Chemical Code 056702;Emo-nik;Exodus;Flux MAAG;Fumetobac;HSDB 1107;Habitrol;L-3-(1-Methyl-2-pyrrolidyl)pyridine;Mach-Nic;Micotine;NSC 5065;Niagara P.A. dust;Nic-Sal;Nicabate;Nico-dust;Nico-fume;Nicocide;Nicoderm;Nicoderm CQ;Nicorette;Nicotin;Nicotina;Nicotina [Italian];Nicotine;Nicotine [BSI:ISO];Nicotine [UN1654]  [Poison];Nicotine alkaloid;Nicotine and salts;Nicotrol;Nicotrol Inhaler;Nicotrol NS;Nikotin;Nikotin [German];Nikotyna;Nikotyna [Polish];Niquitin;Ortho N-4 and N-5 dusts;Ortho N-4 dust;Ortho N-5 dust;Prostep;Pyridine, 3-((2S)-1-methyl-2-pyrrolidinyl)-;Pyridine, 3-(1-methyl-2-pyrrolidinyl)-, (S)-;Pyridine, 3-(1-methyl-2-pyrrolidinyl)-, (S)- (9CI);Pyridine, 3-(tetrahydro-1-methylpyrrol-2-yl);Pyrrolidine, 1-methyl-2-(3-pyridal)-;RCRA waste no. P075;RCRA waste number P075;Tabazur;Tendust;Tetrahydronicotyrine, dl-;UN1654;UNII-6M3C89ZY6R;XL all insecticide;beta-Pyridyl-alpha-N-methylpyrrolidine;l-Nicotine;	162.23	C10H14N2	520.15	194.15	374.85	5.07E-03	7.0e-03	0.14	0.03	1030.00	50.03	165.65	Exp	Exp	Exp	Exp	Pred-HC	Pred-HC	Exp	Exp	Exp	Pred-HC	10.09	2.15	0.99	95.95	0.97	1.42	1.03	1.86	1.32	1.04												769.74	30.59	0.40
7	55-63-0	1,3-dinitrooxypropan-2-yl nitrate	1,2,3-Propanetriol, 1,2,3-trinitrate;1,2,3-Propanetriol, trinitrate;1,2,3-Propanetriyl nitrate;100292-13-5;105469-31-6;4-01-00-02762 (Beilstein Handbook Reference);55-63-0;80066-48-4;8013-23-8;9010-02-0;Adesitrin;Aldonitrin;Angibid;Anginine;Angiolingual;Angiplex;Anglix;Angonist;Angorin;Aquo-Trimitrosan;BRN 1802063;Blasting gelatin;Blasting oil;Buccard;CCRIS 4089;Cardabid;Cardamist;Cardinit;Cardiodisco;Chitamite;Colenitral;Corangin Nitrokapseln;Cordipatch;Corditrine;Coro-Nitro;Dauxona;Deponit;Deponit 5;Deponit TTS 10;Deponit TTS 5;Deponit-5;Diafusor;Discotrine;EINECS 200-240-8;Epinitril;GTN;GTN-Pohl;Gepan Nitroglicerin;Gilucor nitro;Gilustenon;Glonoin;Glycerine trinitrate;Glycerintrinitrate;Glycerintrinitrate [Czech];Glycerol (trinitrate de);Glycerol (trinitrate de) [French];Glycerol trinitrate;Glycerol(trinitrate de);Glycerol(trinitrate de) [French];Glycerol, nitric acid triester;Glyceroltrinitraat;Glyceroltrinitraat [Dutch];Glyceryl;Glyceryl nitrate;Glyceryl trinitrate;Glycerylnitrat;Glytrin;HSDB 30;Herwicard;Herzer;Klavikordal;Lenitral;Lentonitrina;Mi-Trates;Millisrol;Minitram;Minitran;Mionitrat;Myocon;Myoglycerin;Myovin;NG;NK-843;NTG;NTS;Natispray;Neos nitro OPT;Niglin;Niglycon;Niong;Niong Retard;Nirmin;Nit-Ret;Nitora;Nitradisc;Nitradisc Pad;Nitradisc TTS;Nitrek;Nitric acid triester of gylcerol;Nitriderm TTS;Nitrin;Nitrine;Nitrine-TDC;Nitro Dur TTS;Nitro IV;Nitro Mack Retard;Nitro Retard;Nitro Rorer;Nitro-Bid;Nitro-Dur;Nitro-Dur 10;Nitro-Dur 5;Nitro-Gesanit Retard;Nitro-M-Bid;Nitro-Mack Retard;Nitro-Par;Nitro-Pflaster;Nitro-Span;Nitro-Time;Nitro-lent;NitroBid;NitroQuick;NitroQuik;Nitroard;Nitrobaat;Nitrobid Oint;Nitrobukal;NitrocapT.D.;Nitrocerin;Nitrocine;Nitrocine 5;Nitroclyn;Nitrocontin;Nitrocontin Continus;Nitrocor;Nitrocot;Nitroderm;Nitroderm TTS;Nitroderm TTS Ext;Nitroderm TTS-5;Nitrodisc;Nitrodyl;Nitrodyl TTS;Nitrogard;Nitrogard-SR;Nitroglicerina;Nitroglicerina [Italian];Nitroglicerina [Spanish];Nitrogliceryna;Nitrogliceryna [Polish];Nitroglin;Nitroglycerin;Nitroglycerin in dextrose 5%;Nitroglycerin mixture with >2% but not >10% nitroglycerin, by mass, desensitized;Nitroglycerin mixture with >2% but not >10% nitroglycerin, by mass, desensitized [UN3319]  [Flammable solid];Nitroglycerin, desensitized with not <40% non-volatile water insoluble phlegmatizer, by mass;Nitroglycerin, desensitized with not <40% non-volatile water insoluble phlegmatizer, by mass [UN0143]  [Explosive 1.1D, Poison];Nitroglycerin, liquid, not desensitized;Nitroglycerin, liquid, not desensitized [Forbidden];Nitroglycerin, solution in alcohol with > 5% but not > 10% nitroglycerin;Nitroglycerin, solution in alcohol, with >1% but not >10% nitroglycerin;Nitroglycerin, solution in alcohol, with >1% but not >10% nitroglycerin [UN0144]  [Explosive 1.1D];Nitroglycerin, solution in alcohol, with >1% but not >5% nitroglycerin;Nitroglycerin, solution in alcohol, with >1% but not >5% nitroglycerin [UN3064]  [Flammable liquid];Nitroglycerin, solution in alcohol, with not >1% nitroglycerin;Nitroglycerin, solution in alcohol, with not >1% nitroglycerin [UN1204]  [Flammable liquid];Nitroglycerin, spirits of;Nitroglycerin-ACC;Nitroglycerine;Nitroglycerine [French];Nitroglycerol;Nitroglyn;Nitrol;Nitrol (pharmaceutical);Nitrolan;Nitroletten;Nitrolin;Nitrolingual;Nitrolingual Spray;Nitrolingual pumpspray;Nitrolowe;Nitromack Retard;Nitromel;Nitromex;Nitromint;Nitromint Aerosol;Nitromint Retard;Nitromist;Nitronal;Nitronet;Nitrong;Nitrong Retard;Nitrong-SR;Nitropatch;Nitropen;Nitropercuten;Nitroperlinit;Nitroplast;Nitroprol;Nitropront;Nitroprontan;Nitrorectal;Nitroretard;Nitrorex;Nitrospan;Nitrostabilin;Nitrostat;Nitrovis;Nitrozell retard;Nysconitrine;Percutol;Percutol Oint.;Perganit;Perglottal;Perlinganit;Plastranit;Polnitrin;Propanetriol trinitrate;RCRA waste no. P081;RCRA waste number P081;Ratiopharm;SDM No. 17;SK-106N;Solution glyceryl trinitrate;Soup;Spirit of glonoin;Spirit of glyceryl trinitrate;Spirit of trinitroglycerin;Spirits of Nitroglycerin, (1 to 10%);Susadrin;Suscard;Sustonit;Temponitrin;Top-Nitro;Transderm Nitro;Transderm-N TTS;Transderm-Nitro;Transiderm-Nitro;Tridil;Trinalgon;Trinipatch;Triniplas;Trinitrin;Trinitrina Erba;Trinitrine Simple Laleuf;Trinitroglicerina Fabra;Trinitroglycerin;Trinitroglycerol;Trinitrol;Trinitron;Trinitrosan;Turicard;UN0143;UN0144;UN1204;UN3064;UN3319;UNII-G59M7S0WS3;Vasoglyn;Vasolator;Vernies;Willong;	227.09	C3H5N3O9	523.15	286.65	285.15	5.33E-05	4.26e-03	0.18	0.04	1670.00	105.01	2.74	Exp	Exp	Exp	Exp	Pred-HC	Pred-Propred	Exp	Exp	Exp	Exp	0.29	0.70	0.86	0.84	2.21	1.75	0.93	4.98	0.76	1.55	2.00					7.44	2305.79	-99.31	286.15	680.00	Yaws	1045.62	43.68	1.14
7	55-91-4	2-[fluoranyl(propan-2-yloxy)phosphoryl]oxypropane	37209-35-1;4-01-00-01480 (Beilstein Handbook Reference);55-91-4;BRN 1723307;DFP;Diflupyl;Diflurophate;Diisopropoxyphosphoryl fluoride;Diisopropyl fluorophosphate;Diisopropyl fluorophosphonate;Diisopropyl phosphofluoridate;Diisopropyl phosphorofluoridate;Diisopropylfluorfosfat;Diisopropylfluorfosfat [Czech];Diisopropylfluorophosphate;Diisopropylfluorophosphoric acid ester;Diisopropylfluorphosphorsaeureester;Diisopropylfluorphosphorsaeureester [German];Diisopropylphosphorofluoridate;Dyflos;EA 1152;EINECS 200-247-6;Floropryl;Fluophosphoric acid, diisopropyl ester;Fluorodiisopropyl phosphate;Fluorophosphoric acid, diisopropyl ester;Fluostigmine;HSDB 2133;Isofluorophate;Isofluorphate;Isoflurophate;Isoflurophosphate;Isopropyl fluophosphate;Isopropyl phosphorofluoridate;Neoglaucit;O,O'-Diisopropyl phosphoryl fluoride;O,O-Diisopropyl fluorophosphate;PF-3;Phosphorofluoridic acid, bis(1-methylethyl) ester;Phosphorofluoridic acid, diisopropyl ester;RCRA waste no. P043;RCRA waste number P043;T-1703;TL 466;UNII-12UHW9R67N;	184.15	C6H14O3PF	456.15	191.15	337.65	1.33E-02	1.45e-03	0.13	0.02	1080.00	5.00	69.33	Exp	Exp	Exp	Pred-HC	Pred-HC	Pred-HC	Pred-HC	Exp	Exp	Pred-HC	5.05	3.75	1.04	40.48	1.66	1.02	1.28	0.64	1.78	4.14												664.70		
7	56-18-8	N'-(3-azanylpropyl)propane-1,3-diamine	1,3-Propanediamine, N-(3-aminopropyl)-;1,3-Propanediamine, N1-(3-aminopropyl)-;1,7-Diamino-4-azaheptane;1-Propanamine, 3,3'-iminobis-;3,3'-Iminobis(propylamine);3,3'-Iminobispropylamine;3,3'-Iminodi(propylamine);3,3'-Iminodipropylamine;3,3'-Iminodipropylamine [UN2269]  [Corrosive];3,3-Diaminodipropylamine;4-04-00-01278 (Beilstein Handbook Reference);4-Azaheptane-1,7-diamine;56-18-8;AI3-25361;Aminobis(propylamine);BRN 1071254;Bis(3-aminopropyl)amine;Bis-(3-aminopropyl)amine;CCRIS 4826;Caldine;Dipropylamine, 3,3'-diamino-;Dipropylenetriamine;Dipropylenetriamine (VAN);Dipropylentriamin;Dipropylentriamin [German];EINECS 200-261-2;Imino-bis(3-propylamine);Iminobis(propylamine);N-(3-Aminopropyl)-1,3-propanediamine;N-3-Aminopropyl-1,3-diaminopropane;NSC 7773;Norspermidine;P 2 (hardener);Propylamine, 3,3'-iminobis-;UN2269;	131.22	C6H17N3	520.79	259.15	391.15	7.64E-04	2.08e-03	0.21	0.03	910.00	738.13	788.98	Pred-HC	Exp	Exp	Pred-HC	Pred-HC	Pred-Propred	Pred-HC	Exp	Exp	Pred-HC	0.13	0.77	1.46	0.33	1.17	3.86	0.92	18.65	0.87	0.75												695.48	35.64	0.80
7	56-23-5	tetrakis(chloranyl)methane	56-23-5;AI3-04705;Benzinoform;CC m0;CCRIS 123;Carbon chloride (CCl4);Carbon tet;Carbon tetrachloride;Carbon tetrachloride [BSI:ISO];Carbon tetrachloride [UN1846]  [Poison];Carbona;Caswell No. 164;Chlorid uhlicity;Chlorid uhlicity [Czech];Czterochlorek wegla;Czterochlorek wegla [Polish];EINECS 200-262-8;ENT 27164;ENT 4,705;EPA Pesticide Chemical Code 016501;Fasciolin;Flukoids;Freon 10;HSDB 53;Halon 1040;Methane tetrachloride;Methane, tetrachloro-;NSC 97063;Necatorina;Necatorine;Perchloromethane;R 10;R 10 (Refrigerant);RCRA waste no. U211;RCRA waste number U211;Tetrachloorkoolstof;Tetrachloorkoolstof [Dutch];Tetrachloormetaan;Tetrachlorkohlenstoff, tetra;Tetrachlorkohlenstoff, tetra [German];Tetrachlormethan;Tetrachlormethan [German];Tetrachloromethane;Tetrachlorure de carbone;Tetrachlorure de carbone [French];Tetrachlorure de carbone [ISO-French];Tetraclorometano;Tetraclorometano [Italian];Tetracloruro di carbonio;Tetracloruro di carbonio [Italian];Tetrafinol;Tetraform;Tetrasol;UN1846;UNII-CL2T97X0V0;Univerm;Vermoestricid;	153.82	CCl4	349.95	250.15	296.35	1.53E+01	9.1e-04	0.10	0.02	1700.00	2349.55	41.40	Exp	Exp	Pred-HC	Exp	Exp	Exp	Exp	Exp	Exp	Exp	17.94	2.60	0.88	1.46	1.14	1.10	1.22	0.65	1.27	0.97	63.00	1380		0.73	0.83	6.13	1278.54	-40.26	250.33	556.35	Yaws	579.29	50.97	0.18
7	56-81-5	propane-1,2,3-triol	1,2,3-Propanetriol;1,2,3-Trihydroxypropane;29796-42-7;30049-52-6;37228-54-9;4-01-00-02751 (Beilstein Handbook Reference);56-81-5;75398-78-6;78630-16-7;8013-25-0;90 Technical glycerine;AI3-00091;BRN 0635685;CCRIS 2295;Caswell No. 469;Citifluor AF 2;Clyzerin, wasserfrei;Clyzerin, wasserfrei [German];Dagralax;EINECS 200-289-5;EPA Pesticide Chemical Code 063507;FEMA No. 2525;Glicerina;Glicerina [DCIT];Glicerol;Glicerol [INN-Spanish];Glycerin;Glycerin (mist);Glycerin mist;Glycerin, anhydrous;Glycerin, synthetic;Glycerine;Glycerine mist;Glycerinum;Glyceritol;Glycerol;Glycerolum;Glycerolum [INN-Latin];Glycyl alcohol;Glyrol;Glysanin;Grocolene;HSDB 492;IFP;Incorporation factor;MOON;NSC 9230;Ophthalgan;Osmoglyn;Propanetriol;Propanetriol (VAN);Star;Synthetic glycerin;Synthetic glycerine;Trihydroxypropane;UNII-PDC6A3C0OX;Vitrosupos;	92.09	C3H8O3	563.15	291.35	433.15	2.24E-05	0.94	0.27	0.03	1300.00	12598.15	10712.07	Exp	Exp	Exp	Exp	Exp	Exp	Pred-HC	Exp	Exp	Pred-HC	1.20	3.08	22.43	1.14	13.54	131.34	10.08	136510.73	0.64	0.24	5.00		0.86			6.14	1448.80	-210.65	369.15	850.00	Yaws	695.43	71.85	1.17
7	57-14-7	1,1-dimethyldiazane	1,1-Dimethyl hydrazine;1,1-Dimethylhydrazin;1,1-Dimethylhydrazin [German];1,1-Dimethylhydrazine;4-04-00-03322 (Beilstein Handbook Reference);55484-54-3 (di-hydrochloride);57-14-7;593-82-8 (hydrochloride);88733-28-2;BRN 0605261;CCRIS 258;Dimazine;Dimethylhydrazine unsymmetrical;Dimethylhydrazine, unsym.;Dimethylhydrazine, unsymmetrical;Dimethylhydrazine, unsymmetrical [UN1163]  [Poison];EINECS 200-316-0;HSDB 528;Hydrazine, 1,1-dimethyl-;Hydrazine, N,N-dimethyl-;N,N-Dimethylhydrazine;N,N-Dimetilidrazina;N,N-Dimetilidrazina [Italian];NSC 60517;Niesymetryczna dwu metylohydrazyna;Niesymetryczna dwu metylohydrazyna [Polish];RCRA waste no. U098;RCRA waste number U098;UDMH;UN1163;Unsymmetrical dimethylhydrazine;as-Dimethyl hydrazine;asymmetric Dimethylhydrazine;asymmetric-Dimethylhydrazine;gem-Dimethylhydrazine;u-Dimethylhydrazine;uns-Dimethylhydrazine;unsymmetrical-Dimethylhydrazine;	60.10	C2H8N2	337.05	215.15	274.25	2.17E+01	2.12e-03	0.13	0.02	830.00	121.90	7.85	Exp	Exp	Exp	Exp	Pred-Propred	Pred-Propred	Pred-HC	Exp	Exp	Exp	0.19	0.94	0.84	3.11	1.02	0.94	0.91	0.33	0.80	1.32						6.41	1253.46	-52.03	221.15	336.15	Yaws	531.87	55.10	0.34
