acetonitrile	water
P	760
x1	boiling point in K
0.002	368.15
0.006	364.85
0.015	363.25
0.039	358.35
0.099	354.05
0.188	352.45
0.279	351.55
0.349	351.35
0.597	349.45
0.726	349.15
0.795	349.45
0.88	350.25
0.914	351.05
0.95	351.95
0.96	352.35
	
methanol	2-butanone
P	760
x1	boiling point in K
0.0465	348.15
0.1	346.15
0.1525	344.55
0.2005	343.05
0.3095	340.45
0.4195	338.85
0.61	337.15
0.6142	337.15
0.7126	336.75
0.8088	336.65
0.8566	336.75
0.903	336.95
0.9475	337.35
	
cyclopentane	tetrachloromethane
P	760
x1	boiling point in K
0.026	348.85
0.098	345.95
0.171	343.15
0.239	340.85
0.301	338.85
0.366	336.85
0.428	335.15
0.488	333.55
0.536	332.35
0.548	332.05
0.6	330.75
0.661	329.35
0.719	328.15
0.78	326.85
0.834	325.75
0.883	324.75
0.939	323.65
0.985	322.75
	
isoprene	nitromethane
P	760
x1	boiling point in K
0.1	330.25
0.2	318.85
0.3	314.65
0.4	313.05
0.5	311.65
0.6	310.85
0.7	309.95
0.8	309.05
0.9	308.25
