Acetone	Cyclohexane
x1	density in kg/m3
0.0996	771.1
0.2056	769.2
0.3401	768.3
0.3927	768.3
0.5042	768.9
0.5889	769.7
0.6877	771.5
0.8015	774.7
0.8872	778.4
	
methyl ethyl ketone	methylcyclohexane
x1	density in kg/m3
0.1137	765.5
0.2032	766.8
0.3235	769.2
0.4138	771.5
0.4901	773.8
0.5853	777.4
0.6889	781.5
0.7914	786.5
0.8938	792.5
	
acetone	1,2-dimethylcyclohexane
x1	density in kg/m3
0.1145	785.9
0.1946	784.6
0.2939	783.3
0.3957	782.2
0.4919	781.3
0.5808	780.7
0.6899	780.4
0.7896	780.6
0.8976	781.9
	
1-chlorohexane	cyclohexane
x1	density in kg/m3
0.1194	786.5
0.1987	795.1
0.3014	806.8
0.4135	817.8
0.4969	826.2
0.6042	836.5
0.6693	843.1
0.7855	853.9
0.8816	862.7
	
1-chlorohexadecane	cyclohexane
x1	density in kg/m3
0.1016	792.8
0.1959	806.6
0.2955	818.3
0.3807	826.1
0.485	824.1
0.5811	841.1
0.6648	839.8
0.7605	850.9
0.8672	855.6
	
1-chlorohexane	methylcyclohexane
x1	density in kg/m3
0.1074	776.8
0.3018	798.3
0.5004	820
0.6947	838.8
0.8928	861.9
	
1-chlorohexane	1,2-dimethylcyclohexane
x1	density in kg/m3
0.1142	797.5
0.3054	813.4
0.5043	830.2
0.701	847
0.897	864
	
1-chlorohexadecane	methylcyclohexane
x1	density in kg/m3
0.1173	787.8
0.3139	814.5
0.517	833.6
0.6675	844
0.8789	853.2
	
ethyl acetate	cyclohexane
x1	density in kg/m3
0.1282	783.1
0.2261	791.8
0.3215	801.3
0.4015	809.9
0.5092	822.5
0.5942	833.1
0.6986	847.2
0.7933	860.9
0.8821	874.6
	
ethyl acetate	1,2-dimethylcyclohexane
x1	density in kg/m3
0.0855	793
0.2101	801.3
0.3261	810.3
0.3929	816
0.4945	825.5
0.5983	836.4
0.6802	846
0.797	861.3
0.895	876
	
propyl propionate	methylcyclohexane
x1	density in kg/m3
0.1204	777
0.2062	786
0.2942	795.4
0.4008	807
0.499	817.9
0.5994	829.1
0.6926	839.6
0.8025	852.3
0.8963	869.3
	
acetone	benzene
x1	density in kg/m3
0.1311	864
0.3321	848.6
0.5194	832.9
0.6875	817.5
0.8941	797
	
acetone	toluene
x1	density in kg/m3
0.0096	856.7
0.3257	844.2
0.5026	832.1
0.714	815.1
0.8769	799.4
	
acetone	o-xylene
x1	density in kg/m3
0.1236	870.9
0.3303	856.2
0.4988	843.3
0.7001	824.4
0.8868	802.3
	
Methyl Ethyl Ketone	 Benzene 
x1	density in kg/m3
0.1292	864.3
0.3124	851.3
0.5033	837.7
0.6883	824
0.8609	811.1
	
Methyl Ethyl Ketone 	 Toluene 
x1	density in kg/m3
0.1398	855.1
0.3207	845.9
0.5166	834.7
0.7163	821.8
0.8877	809.6
	
Methyl Ethyl Ketone 	 p-Xylene 
x1	density in kg/m3
0.1382	851.4
0.3399	842.7
0.5881	833.4
0.6956	823.1
0.8821	809.6
	
1-Chlorohexane 	 Benzene 
x1	density in kg/m3
0.1032	872.1
0.3077	871.5
0.481	871.7
0.6529	872.1
0.8575	872.7
	
1-Chlorohexane 	 Toluene 
x1	density in kg/m3
0.1318	863.8
0.3182	866.5
0.5008	868.8
0.6948	870.7
0.8708	872.2
	
1-Chlorohexane 	 o-Xylene 
x1	density in kg/m3
0.0913	875.4
0.305	875
0.5003	875.3
0.6921	874.6
0.8632	873.8
	
1-Chlorohexadecane 	 Benzene 
x1	density in kg/m3
0.1022	866.5
0.2905	862.5
0.4559	861.2
0.6835	860.9
0.8301	860.8
	
1-Chlorohexadecane 	 Toluene 
x1	density in kg/m3
0.1044	860.6
0.2756	860.3
0.4686	860.5
0.649	860.6
0.8197	860.7
	
1-Chlorohexadecane 	 p-Xylene 
x1	density in kg/m3
0.0953	857.7
0.2714	859
0.4616	859.9
0.6971	860.4
0.8941	860.7
	
Ethyl Acetate 	 Benzene 
x1	density in kg/m3
0.1285	875.6
0.3257	879.5
0.5062	883.3
0.6875	887.3
0.8599	891.1
	
Ethyl Acetate 	 Toluene 
x1	density in kg/m3
0.1426	866
0.3095	871.3
0.4865	877
0.6635	882.8
0.8764	890
	
Ethyl Acetate 	 o-Xylene 
x1	density in kg/m3
0.1374	877.4
0.3296	880.7
0.4938	883.7
0.6954	887.7
0.8611	891.1
	
Propyl Propionate 	 Benzene 
x1	density in kg/m3
0.1219	873.8
0.3185	874.4
0.4856	874.9
0.6618	875.2
0.8633	875.4
	
Propyl Propionate 	 Toluene 
x1	density in kg/m3
0.1334	864.5
0.2991	867.6
0.5087	870.7
0.6649	872.5
0.8609	874.4
	
Propyl Propionate 	 p-Xylene 
x1	density in kg/m3
0.117	859.4
0.2997	863.4
0.5116	867.5
0.666	870.2
0.8581	873.3
	
acetone	 1-Chlorohexane 
x1	density in kg/m3
0.1087	866.9
0.2728	856.2
0.356	850.4
0.4289	845.3
0.4916	839.8
0.581	832.3
0.7064	820.4
0.7838	811.7
0.8977	798.5
	
Methyl Ethyl Ketone 	 Chlorohexane 
x1	density in kg/m3
0.1364	865.8
0.2372	859.5
0.3443	852.7
0.4146	848.2
0.5605	841
0.6134	833.8
0.7386	823.9
0.7811	820
0.8758	811.6
	
Methyl Ethyl Ketone	1-Chlorohexadecane
x1	density in kg/m3
0.1799	856.3
0.2625	853.9
0.3411	851.2
0.4537	846.7
0.5145	844
0.6206	838.5
0.7082	832.6
0.8029	824.6
0.8965	814.6
	
acetone	propyl propionate
x1	density in kg/m3
0.1139	869.5
0.2335	862.3
0.3062	857.5
0.414	850.4
0.5275	840.6
0.5916	835.5
0.7171	824.2
0.8056	812.3
0.9271	796.1
	
methyl ethyl ketone	propyl propionate
x1	density in kg/m3
0.1074	869.7
0.2725	860
0.3326	856.2
0.3934	852.1
0.4885	845.5
0.5907	837.8
0.6832	830.3
