methanol	2-butanone
T	50
x1	P in mmHg
0.076	312.9
0.085	317.7
0.114	332.3
0.188	363.5
0.296	387.5
0.386	408
0.485	421.4
0.592	429.7
0.665	437.1
0.707	439.7
0.74	441.7
0.802	441
0.908	435.3

cyclopentane	benzene
T	25
x1	P in mmHg
0.1535	148.07
0.4375	218.98
0.4834	228.33
0.5638	243.29
0.7055	268.36
0.8583	294.11

cyclopentane	chloroform
T	25
x1	P in mmHg
0.0605	214.08
0.123	229.01
0.2019	244.96
0.2937	260.61
0.3859	273.83
0.4682	283.54
0.557	292.1
0.6416	299.98
0.7342	306.8
0.826	312.06
0.8923	315.12
0.9583	317.36

1-propanol	water
T	25
x1	P in mmHg
0.01	26.1
0.02	28.5
0.05	34
0.1	35.9
0.2	35.4
0.4	35.9
0.6	35.4
0.8	31.2
0.9	27.5
0.95	25
