Acetone	Cyclohexane
x1	Viscosity in cp
0.0996	0.73293055
0.2056	0.62682108
0.3401	0.53127945
0.3927	0.5055414
0.5042	0.4405797
0.5889	0.41071192
0.6877	0.37302025
0.8015	0.33792414
0.8872	0.31766504
	
methyl ethyl ketone	methylcyclohexane
x1	Viscosity in cp
0.1137	0.60711805
0.2032	0.56574504
0.3235	0.52205604
0.4138	0.49368285
0.4901	0.47225014
0.5853	0.44770466
0.6889	0.423573
0.7914	0.4028453
0.8938	0.38586825
	
acetone	cis-1,2-dimethylcyclohexane
x1	Viscosity in cp
0.1145	0.7992603
0.1946	0.72865802
0.2939	0.65311554
0.3957	0.58555492
0.4919	0.52761189
0.5808	0.47489981
0.6899	0.4182944
0.7896	0.3742977
0.8976	0.3307437
	
1-chlorohexane	cyclohexane
x1	Viscosity in cp
0.1194	0.799084
0.1987	0.76321649
0.3014	0.73233236
0.4135	0.70952328
0.4969	0.69846948
0.6042	0.6864319
0.6693	0.68586185
0.7855	0.68235149
0.8816	0.68179181
	
1-chlorohexadecane	cyclohexane
x1	Viscosity in cp
0.1016	1.2478672
0.1959	1.6277188
0.2955	2.0604794
0.3807	2.4559953
0.485	2.9181381
0.5811	3.4199126
0.6648	3.7984154
0.7605	4.2978959
0.8672	4.81275
	
1-chlorohexane	methylcyclohexane
x1	Viscosity in cp
0.1074	0.66113448
0.3018	0.65181195
0.5004	0.652802
0.6947	0.65963232
0.8928	0.67409199
	
1-chlorohexane	1,2-dimethylcyclohexane
x1	Viscosity in cp
0.1142	0.86449
0.3054	0.79932818
0.5043	0.75224422
0.701	0.7183407
0.897	0.6934464
	
1-chlorohexadecane	methylcyclohexane
x1	Viscosity in cp
0.1173	1.0194132
0.3139	1.7356995
0.517	2.6791904
0.6675	3.467996
0.8789	4.679802
	
ethyl acetate	cyclohexane
x1	Viscosity in cp
0.1282	0.7040069
0.2261	0.6203753
0.3215	0.56259273
0.4015	0.52570609
0.5092	0.48716675
0.5942	0.46520304
0.6986	0.44444112
0.7933	0.4313109
